company_id,company_name,country,industry,size_bin,group_memberships,signals_count,last_ts,score_0_100
176,ViaQuatro,BR,transport_logistics,m,0.0,0,,0.0
175,Entel Bolivia,BO,ict_telecom,m,0.0,0,,0.0
174,Empresa Nacional de Ferrocarriles del Perú,PE,transport_logistics,m,0.0,0,,0.0
183,telnor,MX,ict_telecom,m,0.0,0,,0.0
302,Andes Iron,CL,mining_metals,m,0.0,0,,0.0
301,Baden Baden,BR,agro_food,m,0.0,0,,0.0
300,Personal Paraguay,PY,ict_telecom,m,0.0,0,,0.0
299,C6 Bank,BR,finance_insurance,m,0.0,0,,0.0
298,Clan del Golfo,CO,oil_gas,m,0.0,0,,0.0
297,Brasil Ferrovias,BR,transport_logistics,m,0.0,0,,0.0
296,Boliviana de Aviación,BO,transport_logistics,l,0.0,0,,0.0
295,Amares Costafusion,CL,oil_gas,m,0.0,0,,0.0
229,Agencia de Noticias Fides (ANF),BO,ict_telecom,m,0.0,0,,0.0
293,Bäcker Brewery,BR,agro_food,m,0.0,0,,0.0
292,Hipermaxi,BO,retail_consumer,m,0.0,0,,0.0
275,Banistmo,PA,finance_insurance,m,0.0,0,,0.0
274,Petropar,PY,oil_gas,m,0.0,0,,0.0
273,Puntacana Resort & Club,DO,transport_logistics,m,0.0,0,,0.0
272,Ferrocentral,AR,transport_logistics,m,0.0,0,,0.0
271,Megacable,MX,ict_telecom,m,0.0,0,,0.0
270,Megabús,CO,transport_logistics,m,0.0,0,,0.0
269,Empresa de los Ferrocarriles del Estado,CL,transport_logistics,l,0.0,0,,0.0
294,Brubank,AR,finance_insurance,m,0.0,0,,0.0
17,Centro Acuático Porvenir,BO,transport_logistics,m,0.0,0,,0.0
16,Mass,PE,retail_consumer,m,0.0,0,,0.0
15,El Oro Mining and Railway,MX,mining_metals,m,0.0,0,,0.0
14,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,0.0,0,,0.0
13,Grupo Monte Carlo (Uruguay),UY,ict_telecom,m,0.0,0,,0.0
12,Piscinão de Ramos,BR,water_waste_circularity,m,0.0,0,,0.0
11,Lojas Colombo,BR,retail_consumer,m,0.0,0,,0.0
10,Industrias Reunidas Fábrica Matarazzo,BR,manufacturing,m,0.0,0,,0.0
303,Ferromex,MX,transport_logistics,m,0.0,0,,0.0
8,Imagem Filmes,BR,ict_telecom,m,0.0,0,,0.0
7,The Great Western of Brazil Railway Company Ltd.,BR,transport_logistics,m,0.0,0,,0.0
6,Ferrocarril de Sobral,BR,construction_realestate,m,0.0,0,,0.0
5,Ferrocarril de Bahía a São Francisco,BR,transport_logistics,m,0.0,0,,0.0
4,Estrada de Ferro de Goiás,BR,transport_logistics,m,0.0,0,,0.0
291,IC Norte,BO,retail_consumer,m,0.0,0,,0.0
290,Manaco,BO,manufacturing,m,0.0,0,,0.0
305,Vista Energy,AR,oil_gas,m,0.0,0,,0.0
304,Banco de Inversión y Comercio Exterior,AR,finance_insurance,m,0.0,0,,0.0
9,IMPSA,AR,energy_power,m,0.0,0,,0.0
247,Organización Nacional de Autobuses,UY,transport_logistics,m,0.0,0,,0.0
246,Infinitum,MX,ict_telecom,m,0.0,0,,0.0
245,Grupo ATV,PE,ict_telecom,m,0.0,0,,0.0
244,GV Producciones,PE,ict_telecom,m,0.0,0,,0.0
243,Ferrocarriles del Sur,CL,transport_logistics,m,0.0,0,,0.0
242,Supermercados Vea,AR,retail_consumer,m,0.0,0,,0.0
241,Paranair,PY,transport_logistics,m,0.0,0,,0.0
240,Empresa de Acueducto y Alcantarillado de Bogotá,CO,water_waste_circularity,m,0.0,0,,0.0
268,Línea Coahuila Durango,MX,transport_logistics,m,0.0,0,,0.0
238,DRB Dribbling,AR,manufacturing,m,0.0,0,,0.0
237,Compañía de Ómnibus de Pando,UY,transport_logistics,m,0.0,0,,0.0
