row_idx,entity_id,old_industry,new_industry,reason,score,sector_hint
2194,ext::ungc::proyecta-spa-cl,industrial_manufacturing,manufacturing,weighted,3.0,
2195,ext::bcorp::despertar-educa-o-infantil-br,public_social_education,transport_logistics,weighted,2.5,
2197,ext::ungc::fogaplar-ar,finance_insurance_capital,ict_telecom,weighted,3.0,
2198,ext::ungc::instituto-san-miguel-f17-ar,ict_digital_media,public_social_education,alias,,
2199,ext::bcorp::mind-process-s-a-ar,agro_food_beverage,agro_food,weighted,5.5,
2200,ext::ungc::sap-mexico-mx,ict_digital_media,ict_telecom,weighted,5.0,
2201,ext::ungc::construyendo-y-creciendo-a-c-mx,ict_digital_media,ict_telecom,weighted,2.0,
2202,ext::ungc::sap-colombia-s-a-s-co,ict_digital_media,ict_telecom,weighted,5.0,
2203,ext::ungc::caja-smg-sc-de-ap-de-rl-de-cv-mx,finance_insurance_capital,ict_telecom,weighted,3.0,
2204,ext::ungc::sap-argentina-s-a-ar,ict_digital_media,ict_telecom,weighted,5.0,
2205,ext::ungc::sap-chile-cl,ict_digital_media,ict_telecom,weighted,5.0,
2206,ext::ungc::sap-peru-pe,ict_digital_media,ict_telecom,weighted,5.0,
2208,ext::ungc::sap-brazil-br,ict_digital_media,ict_telecom,weighted,5.0,
2210,ext::ungc::fast-food-chile-s-a-burger-king-cl,agro_food_beverage,agro_food,weighted,5.5,
2211,ext::ungc::establecimientos-gastronomicos-asian-food-chile-ltda-cl,agro_food_beverage,agro_food,weighted,5.5,
2213,ext::bcorp::hotel-carlota-ec,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
2214,ext::bcorp::arytza-ar,agro_food_beverage,agro_food,weighted,5.5,
2215,ext::bcorp::proyecta-impacto-cl,environmental_circular_services,ict_telecom,weighted,2.0,
2216,ext::bcorp::empresas-torre-s-a-cl,industrial_manufacturing,manufacturing,weighted,3.0,
2218,ext::ungc::taesa-transmissora-alianca-de-energia-eletrica-br,energy_power_utilities,energy_power,weighted,2.0,
2219,ext::ungc::property-management-br,construction_infrastructure_realestate,construction_realestate,weighted,5.5,
2220,ext::ungc::de-sangosse-agroquimica-ltda-br,agro_food_beverage,agro_food,weighted,5.5,
2221,ext::bcorp::carne-hamburguesas-ar,agro_food_beverage,retail_consumer,alias,,
2222,ext::bcorp::pulper-a-quilap-n-ar,agro_food_beverage,agro_food,weighted,5.5,
2223,ext::bcorp::grupo-amobl-cl,transport_mobility_logistics,transport_logistics,weighted,7.5,
2224,ext::bcorp::sustenia-ar,agro_food_beverage,agro_food,weighted,5.5,
2225,ext::ungc::servico-social-do-comercio-departamento-nacional-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2226,ext::ungc::consejo-profesional-de-ciencias-economicas-de-la-provincia-d-ar,ict_digital_media,ict_telecom,weighted,2.0,
2227,ext::ungc::sistema-de-apoio-a-saude-sao-rafael-br,ict_digital_media,ict_telecom,weighted,2.0,
2228,ext::ungc::federacao-das-industrias-do-estado-de-minas-gerais-fiemg-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2229,ext::ungc::silcon-ambiental-ltda-br,industrial_manufacturing,manufacturing,weighted,3.0,
2230,ext::ungc::servico-de-apoio-as-micro-e-pequenas-empresas-do-maranhao-se-br,transport_mobility_logistics,transport_logistics,weighted,7.5,
2232,ext::bcorp::sancoffee-br,agro_food_beverage,agro_food,weighted,7.5,
2233,ext::ungc::tribunal-regional-federal-da-3-regiao-br,ict_digital_media,ict_telecom,weighted,2.0,
2234,ext::ungc::instituto-besouro-de-fomento-social-e-pesquisa-br,ict_digital_media,public_social_education,alias,,
2235,ext::ungc::conselho-regional-de-administracao-de-goias-br,ict_digital_media,public_social_education,weighted,3.0,
2236,ext::ungc::agir-ambiental-br,ict_digital_media,ict_telecom,weighted,2.0,
2237,855,finance_insurance_capital,finance_insurance,weighted,5.5,
2238,ext::bcorp::boomerang-viajes-ar,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
2239,ext::ungc::conselho-regional-de-engenharia-e-agronomia-do-estado-de-sao-br,agro_food_beverage,agro_food,weighted,5.5,
2240,ext::ungc::instituto-tecnologico-superior-de-valladolid-mx,ict_digital_media,public_social_education,alias,,
2241,ext::ungc::justica-federal-de-1-grau-no-parana-br,ict_digital_media,ict_telecom,weighted,2.0,
2242,ext::bcorp::blanquita-arrocera-la-esmeralda-sas-co,environmental_circular_services,agro_food,weighted,5.0,
2243,ext::bcorp::profile-pr-relacoes-publicas-ltda-br,agro_food_beverage,agro_food,weighted,7.5,
2244,ext::bcorp::yuxta-energy-cr,energy_power_utilities,transport_logistics,weighted,7.5,
2245,ext::bcorp::simplo-spa-cl,retail_consumer_services,retail_consumer,weighted,6.0,
2247,808,finance_insurance_capital,finance_insurance,weighted,5.5,
2248,ext::ungc::bolsa-de-comercio-de-rosario-ar,ict_digital_media,ict_telecom,weighted,2.0,
2251,ext::ungc::instituto-logodata-br,ict_digital_media,public_social_education,alias,,
2252,ext::ungc::asociacion-colombiana-de-agencias-de-viajes-y-turismo-anato-co,transport_mobility_logistics,transport_logistics,weighted,7.5,
2253,ext::bcorp::las-polleras-de-agustina-pe,industrial_manufacturing,manufacturing,weighted,3.0,
2254,ext::ungc::ecolana-mx,retail_consumer_services,retail_consumer,weighted,6.0,
2255,ext::ungc::comuna-do-ibitipoca-br,retail_consumer_services,retail_consumer,weighted,6.0,
2256,ext::ungc::instituto-brasileiro-de-educacao-em-gestao-publica-ibegesp-br,agro_food_beverage,public_social_education,alias,,
2257,ext::ungc::distribuidora-de-insumos-y-servicios-jake-s-a-de-c-v-mx,retail_consumer_services,retail_consumer,weighted,6.0,
2258,ext::ungc::matriz-inovadora-consultoria-e-comunicacao-ltda-br,retail_consumer_services,retail_consumer,weighted,6.0,
2259,ext::bcorp::pressumo-s-a-py,agro_food_beverage,agro_food,weighted,5.5,
2260,ext::bcorp::kria-br,finance_insurance_capital,transport_logistics,weighted,4.5,
2261,ext::bcorp::mejor-en-bici-co,transport_mobility_logistics,transport_logistics,weighted,7.5,
2262,ext::ungc::tre-tribunal-regional-eleitoral-do-parana-br,ict_digital_media,ict_telecom,weighted,2.0,
2263,ext::ungc::corporacion-financiera-colombiana-s-a-co,finance_insurance_capital,finance_insurance,weighted,5.5,
2264,ext::ungc::ghidini-rodil-ar,retail_consumer_services,retail_consumer,weighted,6.0,
2265,ext::ungc::falconi-consultores-sa-br,agro_food_beverage,agro_food,weighted,5.5,
2266,ext::ungc::green-carson-s-de-r-l-de-c-v-mx,industrial_manufacturing,manufacturing,weighted,3.0,
2267,ext::ungc::representaciones-maritimas-sa-de-cv-mx,industrial_manufacturing,manufacturing,weighted,3.0,
2268,ext::bcorp::pousada-da-amendoeira-br,hospitality_tourism_leisure,healthcare_pharma_biotech,alias,,
2270,ext::ungc::sparta-corporate-solutions-br,retail_consumer_services,retail_consumer,weighted,6.0,
2271,ext::ungc::basf-chile-cl,agro_food_beverage,agro_food,weighted,5.5,
