company_id,company_qid,company_name,country,industry,size_bin,source,signal_type,signal_strength,ts,url,title,text_snippet,climate_score,sentiment_label,sentiment_score
15,Q10276503,Estrada de Ferro Porto Murtinho a São Roque,BR,transport_logistics,m,memberships,sbti,1.0,2023-12-14 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Fábrica de Papel e Papelão Nossa Senhora da Penha S/A,1.0,positive,0.6
46,Q106820227,Central Uruguay Eastern Extension Railway,UY,transport_logistics,m,memberships,sbti,1.0,2023-12-21 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,London North Eastern Railway,1.0,positive,0.6
46,Q106820227,Central Uruguay Eastern Extension Railway,UY,transport_logistics,m,memberships,sbti,1.0,2023-12-21 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,London North Eastern Railway,0.0,,0.0
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2023-12-21 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Formkon A/S,1.0,positive,0.6
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2023-12-21 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Shropshire Wholesale Meat Company Ltd.,1.0,positive,0.6
1100,Q3366007,Parque Arauco S.A.,CL,retail_consumer,m,memberships,sbti,1.0,2024-01-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Parque Arauco S.A,1.0,positive,0.6
353,Q20053277,Wäls Brewing Company,BR,agro_food,m,memberships,sbti,1.0,2024-01-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Molson Coors Brewing Company,1.0,positive,0.6
353,Q20053277,Wäls Brewing Company,BR,agro_food,m,memberships,sbti,1.0,2024-01-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Molson Coors Brewing Company,0.0,,0.0
29,Q104419265,Barranquilla Railway and Pier Company Ltd,CO,construction_realestate,m,memberships,sbti,1.0,2024-01-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,Bhate & Raje Construction Company Pvt.Ltd,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-01-04 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,CasaToro S.A. BIC,1.0,positive,0.6
1,Q1001788,Compañía de Minas Buenaventura S.A.A.,PE,mining_metals,l,memberships,sbti,1.0,2024-01-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Grupo Aeroportuario del Sureste, S.A.B. de C.V.",1.0,positive,0.6
708,Q86739246,Indústria de Louças Zappi S/A,BR,manufacturing,m,memberships,sbti,1.0,2024-01-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Zanettini, Barossi S/A Indústria e Comércio",1.0,positive,0.6
226,Q1273340,Estrada de Ferro Noroeste do Brasil,BR,transport_logistics,m,memberships,sbti,1.0,2024-01-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,CR Bluecast Industria Mecânica do Brasil LtdA,1.0,positive,0.6
1126,ext::grupo-aeroportuario-del-sureste-mx,Grupo Aeroportuario del Sureste,MX,manufacturing,m,memberships,sbti,1.0,2024-01-11 01:00:00,https://files.sciencebasedtargets.org/production/files/companies-excel.xlsx,Membership: sbti,"Grupo Aeroportuario del Sureste, S.A.B. de C.V.",1.0,positive,0.6
